sample-id,genotype,x,y
9_1_1,grm1,-0.539897694,-0.127897372
9_1_2,grm1,-0.523675235,-0.115975335
9_1_3,grm1,-0.517705707,-0.10705695
9_1_4,grm1,-0.48462014,-0.079055832
9_1_5,grm1,-0.527697117,-0.127065724
9_2_1,grm1,-0.539519686,-0.077588202
9_2_2,grm1,-0.50562071,-0.098585443
9_2_3,grm1,-0.514890331,-0.116757652
9_2_4,grm1,-0.503658856,-0.084690873
9_2_5,grm1,-0.507883459,-0.097414264
9_3_1,grm1,-0.505716583,-0.091528753
9_3_2,grm1,-0.47653408,-0.034488128
9_3_3,grm1,-0.530053019,-0.114159275
9_3_4,grm1,-0.521540204,-0.111821594
9_3_5,grm1,-0.525226921,-0.084056949
9_4_1,grm1,-0.535540901,-0.117526482
9_4_2,grm1,-0.494521458,-0.062766592
9_4_3,grm1,-0.549718861,0.024806863
9_4_4,grm1,-0.568662637,-0.007180173
9_4_5,grm1,-0.490598782,-0.04231394
b_1_1,bbc,0.678891951,-0.195197789
b_1_2,bbc,0.067852332,0.55816496
b_1_3,bbc,0.295118126,-0.01698709
b_1_4,bbc,0.563062517,0.167416705
b_2_1,bbc,-0.266029695,0.332617901
b_2_2,bbc,0.756185843,-0.197886149
b_2_3,bbc,0.628866487,-0.134094928
b_2_4,bbc,0.356691547,0.102599097
b_3_2,bbc,-0.245409804,0.17402037
b_3_3,bbc,0.539262263,-0.027874981
b_3_4,bbc,0.171237271,-0.076097704
b_4_1,bbc,0.233385323,0.150044328
b_4_2,bbc,-0.159181658,0.293582298
b_4_3,bbc,0.038042235,0.35882044
b_4_4,bbc,0.432119521,0.175732245
C_1_6,Col-0,0.752367345,-0.074694125
C_2_5,Col-0,0.73956761,0.083224899
C_2_6,Col-0,0.452729652,0.268426411
C_2_7,Col-0,0.765258967,-0.081357273
C_2_8,Col-0,0.538954027,0.321399276
C_3_5,Col-0,0.787237994,-0.562168718
C_3_6,Col-0,0.732123914,-0.378634574
C_3_7,Col-0,0.735673311,-0.412467921
C_3_8,Col-0,0.247004092,0.199550885
C_4_5,Col-0,0.326413439,0.218202256
C_4_7,Col-0,0.195857769,0.426781852
