sample-id	compartment	genotype	flat_number	compartment_genotype	set1a	set1b	set1c	set2a	set3c	set4a	set1d
y117	endophytic	Col0	1	endophytic_Col0	0	1	0	0	0	0	1
y118	endophytic	Col0	1	endophytic_Col0	0	1	0	0	0	0	1
y119	endophytic	Col0	1	endophytic_Col0	0	1	0	0	0	0	1
y120	endophytic	Col0	1	endophytic_Col0	0	1	0	0	0	0	1
y121	endophytic	Col0	2	endophytic_Col0	0	1	0	0	0	0	1
y122	endophytic	Col0	2	endophytic_Col0	0	1	0	0	0	0	1
y123	endophytic	Col0	2	endophytic_Col0	0	1	0	0	0	0	1
y124	endophytic	Col0	2	endophytic_Col0	0	1	0	0	0	0	1
y125	endophytic	Col0	3	endophytic_Col0	0	1	0	0	0	0	1
y126	endophytic	Col0	3	endophytic_Col0	0	1	0	0	0	0	1
y127	endophytic	Col0	3	endophytic_Col0	0	1	0	0	0	0	1
y128	endophytic	Col0	4	endophytic_Col0	0	1	0	0	0	0	1
y129	endophytic	Col0	4	endophytic_Col0	0	1	0	0	0	0	1
y130	endophytic	Col0	4	endophytic_Col0	0	1	0	0	0	0	1
y131	endophytic	Col0	5	endophytic_Col0	0	1	0	0	0	0	1
y132	endophytic	Col0	5	endophytic_Col0	0	1	0	0	0	0	1
y133	endophytic	Col0	5	endophytic_Col0	0	1	0	0	0	0	1
y244	endophytic	aca4-11	6	endophytic_aca4-11	0	0	1	0	0	1	1
y245	endophytic	aca4-11	6	endophytic_aca4-11	0	0	1	0	0	1	1
y246	endophytic	aca4-11	6	endophytic_aca4-11	0	0	1	0	0	1	1
y247	endophytic	aca4-11	6	endophytic_aca4-11	0	0	1	0	0	1	1
y248	endophytic	aca4-11	7	endophytic_aca4-11	0	0	1	0	0	1	1
y249	endophytic	aca4-11	7	endophytic_aca4-11	0	0	1	0	0	1	1
y250	endophytic	aca4-11	7	endophytic_aca4-11	0	0	1	0	0	1	1
y251	endophytic	aca4-11	7	endophytic_aca4-11	0	0	1	0	0	1	1
y252	endophytic	aca4-11	8	endophytic_aca4-11	0	0	1	0	0	1	1
y253	endophytic	aca4-11	8	endophytic_aca4-11	0	0	1	0	0	1	1
y254	endophytic	aca4-11	8	endophytic_aca4-11	0	0	1	0	0	1	1
y255	endophytic	aca4-11	8	endophytic_aca4-11	0	0	1	0	0	1	1
y256	endophytic	aca4-11	9	endophytic_aca4-11	0	0	1	0	0	1	1
y257	endophytic	aca4-11	9	endophytic_aca4-11	0	0	1	0	0	1	1
y258	endophytic	aca4-11	9	endophytic_aca4-11	0	0	1	0	0	1	1
y259	endophytic	aca4-11	9	endophytic_aca4-11	0	0	1	0	0	1	1
y276	endophytic	acd5	6	endophytic_acd5	0	0	1	0	0	1	1
y277	endophytic	acd5	6	endophytic_acd5	0	0	1	0	0	1	1
y278	endophytic	acd5	6	endophytic_acd5	0	0	1	0	0	1	1
y279	endophytic	acd5	6	endophytic_acd5	0	0	1	0	0	1	1
y280	endophytic	acd5	7	endophytic_acd5	0	0	1	0	0	1	1
y281	endophytic	acd5	7	endophytic_acd5	0	0	1	0	0	1	1
y282	endophytic	acd5	7	endophytic_acd5	0	0	1	0	0	1	1
y283	endophytic	acd5	7	endophytic_acd5	0	0	1	0	0	1	1
y284	endophytic	acd5	8	endophytic_acd5	0	0	1	0	0	1	1
y285	endophytic	acd5	8	endophytic_acd5	0	0	1	0	0	1	1
y286	endophytic	acd5	8	endophytic_acd5	0	0	1	0	0	1	1
y287	endophytic	acd5	8	endophytic_acd5	0	0	1	0	0	1	1
y288	endophytic	acd5	9	endophytic_acd5	0	0	1	0	0	1	1
y289	endophytic	acd5	9	endophytic_acd5	0	0	1	0	0	1	1
y290	endophytic	acd5	9	endophytic_acd5	0	0	1	0	0	1	1
y291	endophytic	acd5	9	endophytic_acd5	0	0	1	0	0	1	1
y308	endophytic	lsd1	6	endophytic_lsd1	0	0	1	0	0	1	1
y309	endophytic	lsd1	6	endophytic_lsd1	0	0	1	0	0	1	1
y310	endophytic	lsd1	6	endophytic_lsd1	0	0	1	0	0	1	1
y311	endophytic	lsd1	6	endophytic_lsd1	0	0	1	0	0	1	1
y312	endophytic	lsd1	7	endophytic_lsd1	0	0	1	0	0	1	1
y313	endophytic	lsd1	7	endophytic_lsd1	0	0	1	0	0	1	1
y314	endophytic	lsd1	7	endophytic_lsd1	0	0	1	0	0	1	1
y315	endophytic	lsd1	7	endophytic_lsd1	0	0	1	0	0	1	1
y316	endophytic	lsd1	8	endophytic_lsd1	0	0	1	0	0	1	1
y317	endophytic	lsd1	8	endophytic_lsd1	0	0	1	0	0	1	1
y318	endophytic	lsd1	8	endophytic_lsd1	0	0	1	0	0	1	1
y319	endophytic	lsd1	8	endophytic_lsd1	0	0	1	0	0	1	1
y320	endophytic	lsd1	9	endophytic_lsd1	0	0	1	0	0	1	1
y321	endophytic	lsd1	9	endophytic_lsd1	0	0	1	0	0	1	1
y322	endophytic	lsd1	9	endophytic_lsd1	0	0	1	0	0	1	1
y323	endophytic	lsd1	9	endophytic_lsd1	0	0	1	0	0	1	1
y324	endophytic	tip1	6	endophytic_tip1	0	1	0	0	0	1	1
y325	endophytic	tip1	6	endophytic_tip1	0	1	0	0	0	1	1
y326	endophytic	tip1	6	endophytic_tip1	0	1	0	0	0	1	1
y327	endophytic	tip1	6	endophytic_tip1	0	1	0	0	0	1	1
y328	endophytic	tip1	7	endophytic_tip1	0	1	0	0	0	1	1
y329	endophytic	tip1	7	endophytic_tip1	0	1	0	0	0	1	1
y330	endophytic	tip1	7	endophytic_tip1	0	1	0	0	0	1	1
y331	endophytic	tip1	7	endophytic_tip1	0	1	0	0	0	1	1
y332	endophytic	tip1	8	endophytic_tip1	0	0	1	0	0	1	1
y333	endophytic	tip1	8	endophytic_tip1	0	0	1	0	0	1	1
y334	endophytic	tip1	8	endophytic_tip1	0	0	1	0	0	1	1
y335	endophytic	tip1	8	endophytic_tip1	0	0	1	0	0	1	1
y336	endophytic	tip1	9	endophytic_tip1	0	0	1	0	0	1	1
y337	endophytic	tip1	9	endophytic_tip1	0	0	1	0	0	1	1
y338	endophytic	tip1	9	endophytic_tip1	0	0	1	0	0	1	1
y339	endophytic	tip1	9	endophytic_tip1	0	0	1	0	0	1	1
